player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ernest Jones,81399,LB,SEA,8,1,0,29,60.5,1,5,46,17.4,10.9,5,0,6.5,0,276,48,6,1,59.1,0,2,14,15.0,14.3,2,7.1,0,100,15,2
Azeez Ojulari,81959,ED,NYG,10,0,0,21,55.1,3,12,183,96.9,8.7,16,1,7.9,7,195,189,22,0,61.2,2,7,82,98.8,14.6,12,11.6,5,86,85,14
Odafe Oweh,82161,ED,BLT,10,0,0,3,72.4,10,12,267,93.3,14.2,38,5,6.0,5,315,294,27,0,74.1,8,9,140,94.7,18.6,26,8.2,3,170,161,20
Thomas Booker IV,82168,DI,PHI,8,1,0,24,61.4,0,2,42,100.0,7.1,3,0,2.4,0,44,44,2,1,71.6,0,1,11,100.0,18.2,2,4.5,0,12,12,1
Teair Tart,82261,DI,LAC,9,1,0,27,68.9,2,5,82,100.0,9.8,8,1,4.3,0,87,87,7,1,62.9,0,3,33,100.0,12.1,4,4.5,0,36,36,3
Devonte Wyatt,82268,DI,GB,6,0,0,12,61.3,1,8,108,99.1,9.3,10,1,6.9,3,113,112,12,0,64.4,1,4,58,100.0,10.3,6,6.0,1,60,60,6
Aidan Hutchinson,82330,ED,DET,5,0,0,11,95.0,8,29,180,97.5,38.3,69,1,14.7,8,203,198,45,0,95.5,6,17,91,95.2,49.5,45,21.4,8,104,99,31
Eku Leota,82363,ED,PIT,3,0,0,25,53.2,0,0,22,81.3,0.0,0,0,4.5,1,32,26,1,0,57.4,0,0,10,85.7,0.0,0,10.0,1,14,12,1
Branson Deen,82372,DI,BUF,1,0,0,4,55.8,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Cameron Thomas,82387,ED,KC,2,0,0,16,56.2,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,59.1,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Kingsley Enagbare,82409,ED,GB,9,0,1,12,60.4,2,6,129,94.4,7.0,9,3,4.7,2,142,134,10,0,69.4,0,5,64,94.3,10.9,7,7.0,2,70,66,7
Bobby Brown III,82429,DI,LA,9,0,0,26,50.9,1,1,111,100.0,2.7,3,1,0.9,0,114,114,2,0,55.5,0,0,19,100.0,5.3,1,0.0,0,20,20,0
Tyree Wilson,82432,ED,LV,8,0,1,23,59.1,4,8,135,96.7,11.1,15,1,5.2,1,151,146,13,0,58.6,1,3,62,97.1,12.9,8,4.8,1,70,68,5
Otito Ogbonnia,82450,DI,LAC,9,0,0,27,48.8,1,8,145,99.3,3.4,5,2,3.1,0,152,151,9,0,51.0,1,4,49,100.0,4.1,2,5.1,0,53,53,5
Taki Taimani,82468,DI,MIN,7,0,0,18,48.7,0,0,42,100.0,0.0,0,0,0.0,0,44,44,0,0,51.7,0,0,15,100.0,0.0,0,0.0,0,16,16,0
Brennan Jackson,82474,ED,LA,2,0,0,26,56.5,0,0,4,80.0,0.0,0,0,0.0,0,5,4,0,0,58.8,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Scott Matlock,82482,DI,LAC,9,1,0,27,66.0,0,4,48,100.0,8.3,4,1,6.3,1,50,50,5,1,75.7,0,4,17,100.0,23.5,4,11.8,0,19,19,4
Cameron Young,82499,DI,SEA,1,0,0,29,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Tommy Togiai,82501,DI,HST,1,1,0,13,72.8,0,1,13,100.0,7.7,1,0,3.8,0,14,14,1,0,55.4,0,0,3,100.0,0.0,0,0.0,0,4,4,0
Quay Walker,82547,LB,GB,8,0,0,12,62.1,0,4,35,13.4,11.4,4,0,11.4,2,283,38,6,0,65.0,0,3,17,12.9,11.8,2,14.7,1,140,18,4
